;Modele;win_size;num_cell;num_epoch;batch_size;dropout;rsme;duration(s)
0;M0;60;50;50;64;0.5;0.1025;11
1;M0;60;50;50;64;0.5;0.0525;11
2;M0;60;50;50;64;0.5;0.0294;11
3;M0;60;50;50;64;0.5;0.1171;11
4;M0;60;50;50;64;0.5;0.0757;11
5;M0;60;50;50;64;0.5;0.0736;11
6;M0;60;50;50;64;0.5;0.0506;12
7;M0;60;50;50;64;0.5;0.0421;12
8;M0;60;50;50;64;0.5;0.0927;12
9;M0;60;50;50;64;0.5;0.0627;12
