,Modele,win_size,num_cell,num_epoch,batch_size,dropout,rsme,duration(s)
106,M0,60,80,100,128,0.5,0.0417,130.0
107,M0,60,80,100,128,0.8,0.0478,120.0
108,M0,90,20,50,32,0.2,0.0428,90.0
109,M0,90,20,50,32,0.5,0.0462,89.0
110,M0,90,20,50,32,0.8,0.073,92.0
111,M0,90,20,50,64,0.2,0.045,54.0
112,M0,90,20,50,64,0.5,0.0517,52.0
113,M0,90,20,50,64,0.8,0.0817,56.0
114,M0,90,20,50,128,0.2,0.055,34.0
115,M0,90,20,50,128,0.5,0.0444,37.0
116,M0,90,20,50,128,0.8,0.1151,34.0
117,M0,90,20,100,32,0.2,0.0399,198.0
118,M0,90,20,100,32,0.5,0.0412,232.0
119,M0,90,20,100,32,0.8,0.0701,194.0
120,M0,90,20,100,64,0.2,0.0459,103.0
121,M0,90,20,100,64,0.5,0.0521,146.0
122,M0,90,20,100,64,0.8,0.086,110.0
123,M0,90,20,100,128,0.2,0.0456,70.0
124,M0,90,20,100,128,0.5,0.0471,73.0
125,M0,90,20,100,128,0.8,0.0971,73.0
126,M0,90,50,50,32,0.2,0.0402,117.0
127,M0,90,50,50,32,0.5,0.0452,120.0
128,M0,90,50,50,32,0.8,0.0547,120.0
129,M0,90,50,50,64,0.2,0.0422,93.0
130,M0,90,50,50,64,0.5,0.0457,100.0
131,M0,90,50,50,64,0.8,0.0674,91.0
132,M0,90,50,50,128,0.2,0.0461,66.0
133,M0,90,50,50,128,0.5,0.048,69.0
134,M0,90,50,50,128,0.8,0.066,62.0
135,M0,90,50,100,32,0.2,0.0371,222.0
136,M0,90,50,100,32,0.5,0.0413,218.0
137,M0,90,50,100,32,0.8,0.0474,244.0
138,M0,90,50,100,64,0.2,0.0429,204.0
139,M0,90,50,100,64,0.5,0.044,196.0
140,M0,90,50,100,64,0.8,0.054,189.0
141,M0,90,50,100,128,0.2,0.0434,141.0
142,M0,90,50,100,128,0.5,0.0464,137.0
143,M0,90,50,100,128,0.8,0.0568,140.0
144,M0,90,80,50,32,0.2,0.0394,202.0
145,M0,90,80,50,32,0.5,0.0429,204.0
146,M0,90,80,50,32,0.8,0.0475,218.0
147,M0,90,80,50,64,0.2,0.0413,127.0
148,M0,90,80,50,64,0.5,0.0451,121.0
149,M0,90,80,50,64,0.8,0.0496,133.0
150,M0,90,80,50,128,0.2,0.0441,98.0
151,M0,90,80,50,128,0.5,0.0439,93.0
152,M0,90,80,50,128,0.8,0.051,86.0
153,M0,90,80,100,32,0.2,0.0362,399.0
154,M0,90,80,100,32,0.5,0.039,403.0
155,M0,90,80,100,32,0.8,0.0445,443.0
156,M0,90,80,100,64,0.2,0.0365,259.0
157,M0,90,80,100,64,0.5,0.0412,264.0
158,M0,90,80,100,64,0.8,0.0512,257.0
159,M0,90,80,100,128,0.2,0.0408,178.0
160,M0,90,80,100,128,0.5,0.0396,184.0
161,M0,90,80,100,128,0.8,0.0454,171.0
